// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// 紅色藥水
IG_BlueBox,502,12	// 赤色藥水
IG_BlueBox,503,12	// 黃色藥水
IG_BlueBox,504,12	// 白色藥水
IG_BlueBox,505,12	// 藍色藥水
IG_BlueBox,506,12	// 綠色藥水
IG_BlueBox,507,12	// 紅色藥草
IG_BlueBox,508,12	// 黃色藥草
IG_BlueBox,509,12	// 白色藥草
IG_BlueBox,510,12	// 藍色藥草
IG_BlueBox,511,12	// 綠色藥草
IG_BlueBox,512,12	// 苹果
IG_BlueBox,513,12	// 香蕉
IG_BlueBox,514,12	// 葡萄
IG_BlueBox,515,12	// 紅蘿卜
IG_BlueBox,516,12	// 番薯
IG_BlueBox,517,12	// 肉
IG_BlueBox,518,12	// 蜂蜜
IG_BlueBox,519,12	// 牛奶
IG_BlueBox,520,12	// 西納雷葉子
IG_BlueBox,521,12	// 蘆薈葉子
IG_BlueBox,522,12	// 瑪絲黛拉果實
IG_BlueBox,523,12	// 圣水
IG_BlueBox,525,12	// 万能藥
IG_BlueBox,526,12	// 蜂膠
IG_BlueBox,528,12	// 魔物飼料
IG_BlueBox,529,12	// 糖果
IG_BlueBox,530,12	// 拐杖糖
IG_BlueBox,531,12	// 苹果汁
IG_BlueBox,532,12	// 香蕉汁
IG_BlueBox,533,12	// 葡萄汁
IG_BlueBox,534,12	// 紅蘿卜汁
IG_BlueBox,535,12	// 南瓜
IG_BlueBox,536,12	// 冰淇淋
IG_BlueBox,537,12	// 寵物飼料
IG_BlueBox,538,12	// 姜餅
IG_BlueBox,539,12	// 小蛋糕
IG_BlueBox,544,12	// 生魚片
IG_BlueBox,545,12	// 紅色纖細藥水
IG_BlueBox,546,12	// 黃色纖細藥水
IG_BlueBox,547,12	// 白色纖細藥水
IG_BlueBox,548,12	// 吉士
IG_BlueBox,549,12	// 美味番薯
IG_BlueBox,550,12	// 仙貝
IG_BlueBox,551,12	// 明蝦壽司
IG_BlueBox,553,12	// 包子
IG_BlueBox,555,12	// 糕餅
IG_BlueBox,558,12	// 巧克力
IG_BlueBox,561,12	// 白色情人巧克力
IG_BlueBox,601,12	// 蒼蠅翅膀
IG_BlueBox,602,12	// 蝴蝶翅膀
IG_BlueBox,604,512	// 枯樹枝
IG_BlueBox,605,12	// 曼特療傷藥
IG_BlueBox,606,12	// 蘆薈汁液
IG_BlueBox,607,12	// 天地樹果實
IG_BlueBox,608,12	// 天地樹芽
IG_BlueBox,609,12	// 返魂符
IG_BlueBox,610,12	// 天地樹葉子
IG_BlueBox,611,12	// 放大鏡
IG_BlueBox,612,12	// 攜帶用熔礦爐
IG_BlueBox,613,12	// 鋼鐵錘子
IG_BlueBox,614,12	// 黃金錘子
IG_BlueBox,615,12	// 神之金屬錘子
IG_BlueBox,618,12	// 老舊卷軸
IG_BlueBox,619,12	// 青苹果
IG_BlueBox,620,12	// 濃縮柳橙汁
IG_BlueBox,621,12	// 苦味草
IG_BlueBox,622,12	// 彩色紅蘿卜
IG_BlueBox,623,12	// 變態蚯蚓
IG_BlueBox,624,12	// 腐臭之魚
IG_BlueBox,625,12	// 鏽鐵
IG_BlueBox,626,12	// 魔物飲料
IG_BlueBox,627,12	// 魔物牛奶
IG_BlueBox,628,12	// 營養大骨
IG_BlueBox,629,12	// 呢喃花
IG_BlueBox,630,12	// 青苔
IG_BlueBox,631,12	// 青嫩毒草
IG_BlueBox,632,12	// 營養蚯蚓
IG_BlueBox,633,12	// 魔物番薯
IG_BlueBox,634,12	// 魔物香蕉
IG_BlueBox,635,12	// 魔物之証
IG_BlueBox,636,12	// 魔物信件
IG_BlueBox,637,12	// 魔物掃把
IG_BlueBox,638,12	// 純洁銀刃
IG_BlueBox,639,12	// 馴服手鐲
IG_BlueBox,640,12	// 閃爍之石
IG_BlueBox,641,12	// 黑暗合約書
IG_BlueBox,642,12	// 惡魔召喚書
IG_BlueBox,643,12	// 攜帶用孵蛋器
IG_BlueBox,644,312	// 禮物箱
IG_BlueBox,645,12	// 集中藥水
IG_BlueBox,656,12	// 覺醒藥水
IG_BlueBox,657,12	// 菠色克藥水
IG_BlueBox,659,12	// 心愛女人之回憶
IG_BlueBox,663,12	// 年糕
IG_BlueBox,664,12	// 禮盒
IG_BlueBox,665,12	// 禮盒
IG_BlueBox,666,12	// 禮盒
IG_BlueBox,667,12	// 禮盒
IG_BlueBox,668,12	// 紅包
IG_BlueBox,678,12	// 毒藥瓶
IG_BlueBox,679,12	// 召還丹
IG_BlueBox,701,12	// 歐拉歐拉
IG_BlueBox,702,12	// 家畜血
IG_BlueBox,703,12	// 西納雷花
IG_BlueBox,704,12	// 蘆薈
IG_BlueBox,705,12	// 三葉幸運草
IG_BlueBox,706,12	// 四葉幸運草
IG_BlueBox,707,12	// 哀唱草
IG_BlueBox,708,12	// 曼特花
IG_BlueBox,710,12	// 幻想花
IG_BlueBox,711,12	// 芽苗
IG_BlueBox,712,12	// 花
IG_BlueBox,713,12	// 空瓶
IG_BlueBox,715,12	// 黃色魔力礦石
IG_BlueBox,716,12	// 紅色魔力礦石
IG_BlueBox,717,12	// 藍色魔力礦石
IG_BlueBox,718,12	// 深紅寶石
IG_BlueBox,719,12	// 紫寶石
IG_BlueBox,720,12	// 天藍寶石
IG_BlueBox,721,12	// 綠寶石
IG_BlueBox,722,12	// 珍珠
IG_BlueBox,723,12	// 紅寶石
IG_BlueBox,724,12	// 詛咒紅寶石
IG_BlueBox,725,12	// 大紅寶石
IG_BlueBox,726,12	// 藍寶石
IG_BlueBox,727,12	// 白寶石
IG_BlueBox,728,12	// 黃寶石
IG_BlueBox,729,12	// 青綠寶石
IG_BlueBox,730,12	// 1克拉鑽石
IG_BlueBox,731,12	// 2克拉鑽石
IG_BlueBox,732,12	// 3克拉鑽石
IG_BlueBox,733,12	// 受損的鑽石
IG_BlueBox,734,12	// 紅色相框
IG_BlueBox,735,12	// 藍色陶瓷器
IG_BlueBox,736,12	// 白色盤子
IG_BlueBox,737,12	// 黑色杓子
IG_BlueBox,738,12	// 筆筒
