//
// Structure of Database:
// GroupID,ItemID,Rate
//
// Cookie Bag
IG_CookieBag,529,5		// 糖果
IG_CookieBag,530,5		// 拐杖糖
IG_CookieBag,538,5		// 姜餅
IG_CookieBag,539,5		// 小蛋糕
IG_CookieBag,558,1		// 巧克力
IG_CookieBag,559,1		// 手工巧克力
IG_CookieBag,560,1		// 手工巧克力
IG_CookieBag,561,1		// 白色情人巧克力
IG_CookieBag,564,5		// 肉粽
IG_CookieBag,570,5		// 紅色吉祥糖果
IG_CookieBag,571,5		// 幸運的拐杖糖
IG_CookieBag,572,5		// 幸運的姜餅
IG_CookieBag,573,1		// 巧克力飲料
IG_CookieBag,12122,1	// 茶食
IG_CookieBag,12123,1	// 油果
IG_CookieBag,12124,1	// 彩色糕餅
// First Aid Kit
IG_FirstAid,501,5		// 紅色藥水
IG_FirstAid,502,5		// 赤色藥水
IG_FirstAid,503,5		// 黃色藥水
IG_FirstAid,504,5		// 白色藥水
IG_FirstAid,505,5		// 藍色藥水
IG_FirstAid,506,5		// 綠色藥水
IG_FirstAid,545,5		// 紅色纖細藥水
IG_FirstAid,546,5		// 黃色纖細藥水
IG_FirstAid,547,5		// 白色纖細藥水
IG_FirstAid,569,5		// 初學者專用藥水
IG_FirstAid,605,5		// 曼特療傷藥
IG_FirstAid,645,5		// 集中藥水
IG_FirstAid,656,5		// 覺醒藥水
IG_FirstAid,657,5		// 菠色克藥水
IG_FirstAid,678,1		// 毒藥瓶
IG_FirstAid,12016,5	// 移速變化藥水
IG_FirstAid,12017,5	// 移速變化藥水
IG_FirstAid,12020,5	// 暗水
// Herbs
IG_Herb,507,1		// 紅色藥草
IG_Herb,508,1		// 黃色藥草
IG_Herb,509,1		// 白色藥草
// Fruits
IG_Fruit,512,1	// 苹果
IG_Fruit,513,1	// 香蕉
IG_Fruit,514,1	// 葡萄
IG_Fruit,515,1	// 紅蘿卜
IG_Fruit,516,1	// 番薯
// Meat
IG_Meat,517,1	// 肉
IG_Meat,528,1	// 魔物飼料
// Candy
IG_Candy,529,1	// 糖果
IG_Candy,530,1	// 拐杖糖
// Juice
IG_Juice,531,1	// 苹果汁
IG_Juice,532,1	// 香蕉汁
IG_Juice,534,1	// 紅蘿卜汁
// Fish
IG_Fish,544,1	// 生魚片
IG_Fish,551,1	// 明蝦壽司
// Boxes
IG_Box,603,1	// 神秘箱子
IG_Box,617,1	// 神秘紫箱
IG_Box,644,1	// 禮物箱
// Gemstones
IG_Gemstone,715,1	// 黃色魔力礦石
IG_Gemstone,716,1	// 紅色魔力礦石
IG_Gemstone,717,1	// 藍色魔力礦石
// Elemental Resist Potions
IG_Resist,12118,1	// 火屬性抵抗藥水
IG_Resist,12119,1	// 水屬性抵抗藥水
IG_Resist,12120,1	// 地屬性抵抗藥水
IG_Resist,12121,1	// 風屬性抵抗藥水
// Ores
IG_Ore,1002,30	// 鐵礦石
IG_Ore,998,28	// 鐵
IG_Ore,993,26	// 地靈礦石
IG_Ore,1003,24	// 煤礦
IG_Ore,992,22	// 風靈礦石
IG_Ore,1010,20	// 強化武器金屬-級數一
IG_Ore,991,18	// 水靈礦石
IG_Ore,990,16	// 火靈礦石
IG_Ore,999,14	// 鋼鐵
IG_Ore,1011,12	// 強化武器金屬-級數二
IG_Ore,757,10	// 鋁原石
IG_Ore,756,9	// 神之金屬原石
IG_Ore,997,8	// 土靈原石
IG_Ore,996,7	// 風靈原石
IG_Ore,995,6	// 水靈原石
IG_Ore,994,5	// 火靈原石
IG_Ore,985,4	// 鋁
IG_Ore,984,3	// 神之金屬
IG_Ore,969,2	// 黃金
IG_Ore,714,1	// 華麗金屬
// Food Types
IG_Food,526,5	// 蜂膠
IG_Food,12042,10	// 涼拌蛙蹼
IG_Food,12057,10	// 口感滑爽的面
IG_Food,12053,10	// 蛤蜊湯
IG_Food,12062,10	// 巧克力奶油蛋糕
IG_Food,12068,10	// 番薯餅
IG_Food,12047,10	// 万葉紅茶
IG_Food,531,30	// 苹果汁
IG_Food,532,30	// 香蕉汁
IG_Food,533,30	// 葡萄汁
IG_Food,534,30	// 紅蘿卜汁
IG_Food,538,30	// 姜餅
IG_Food,536,50	// 冰淇淋
IG_Food,544,50	// 生魚片
IG_Food,548,50	// 吉士
IG_Food,551,50	// 明蝦壽司
IG_Food,553,50	// 包子
IG_Food,554,50	// 甜米糕
IG_Food,535,50	// 南瓜
IG_Food,516,100	// 番薯
IG_Food,513,100	// 香蕉
IG_Food,512,600	// 苹果
// Recovery Types
IG_Recovery,522,5	// 瑪絲黛拉果實
IG_Recovery,521,5	// 蘆薈葉子
IG_Recovery,520,10	// 西納雷葉子
IG_Recovery,545,10	// 紅色纖細藥水
IG_Recovery,12118,10	// 火屬性抵抗藥水
IG_Recovery,508,20	// 黃色藥草
IG_Recovery,501,20	// 紅色藥水
IG_Recovery,511,30	// 綠色藥草
IG_Recovery,507,30	// 紅色藥草
IG_Recovery,569,50	// 初學者專用藥水
IG_Recovery,549,50	// 美味番薯
IG_Recovery,529,100	// 糖果
IG_Recovery,528,200	// 魔物飼料
IG_Recovery,550,600	// 仙貝
// Minerals - Unused
IG_Mineral,714,1	// 華麗金屬
IG_Mineral,756,1	// 神之金屬原石
IG_Mineral,757,1	// 鋁原石
IG_Mineral,969,1	// 黃金
IG_Mineral,984,1	// 神之金屬
IG_Mineral,985,1	// 鋁
IG_Mineral,990,1	// 火靈礦石
IG_Mineral,991,1	// 水靈礦石
IG_Mineral,992,1	// 風靈礦石
IG_Mineral,993,1	// 地靈礦石
IG_Mineral,994,1	// 火靈原石
IG_Mineral,995,1	// 水靈原石
IG_Mineral,996,1	// 風靈原石
IG_Mineral,997,1	// 土靈原石
IG_Mineral,998,1	// 鐵
IG_Mineral,999,1	// 鋼鐵
IG_Mineral,1002,1	// 鐵礦石
IG_Mineral,1003,1	// 煤礦
IG_Mineral,1010,1	// 強化武器金屬-級數一
IG_Mineral,1011,1	// 強化武器金屬-級數二
// Set Of Taiming Item
IG_Taming,619,1	// 青苹果
IG_Taming,620,1	// 濃縮柳橙汁
IG_Taming,621,1	// 苦味草
IG_Taming,622,1	// 彩色紅蘿卜
IG_Taming,623,1	// 變態蚯蚓
IG_Taming,624,1	// 腐臭之魚
IG_Taming,625,1	// 鏽鐵
IG_Taming,626,1	// 魔物飲料
IG_Taming,627,1	// 魔物牛奶
IG_Taming,628,1	// 營養大骨
IG_Taming,629,1	// 呢喃花
IG_Taming,630,1	// 青苔
IG_Taming,631,1	// 青嫩毒草
IG_Taming,632,1	// 營養蚯蚓
IG_Taming,633,1	// 魔物番薯
IG_Taming,634,1	// 魔物香蕉
IG_Taming,635,1	// 魔物之証
IG_Taming,636,1	// 魔物信件
IG_Taming,637,1	// 魔物掃把
IG_Taming,638,1	// 純洁銀刃
IG_Taming,639,1	// 馴服手鐲
IG_Taming,640,1	// 閃爍之石
IG_Taming,641,1	// 黑暗合約書
IG_Taming,642,1	// 惡魔召喚書
