// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// 紅色藥水
IG_VioletBox,502,14	// 赤色藥水
IG_VioletBox,503,14	// 黃色藥水
IG_VioletBox,504,14	// 白色藥水
IG_VioletBox,505,14	// 藍色藥水
IG_VioletBox,506,14	// 綠色藥水
IG_VioletBox,507,14	// 紅色藥草
IG_VioletBox,508,14	// 黃色藥草
IG_VioletBox,509,14	// 白色藥草
IG_VioletBox,510,14	// 藍色藥草
IG_VioletBox,511,14	// 綠色藥草
IG_VioletBox,512,14	// 苹果
IG_VioletBox,513,14	// 香蕉
IG_VioletBox,514,14	// 葡萄
IG_VioletBox,515,14	// 紅蘿卜
IG_VioletBox,516,14	// 番薯
IG_VioletBox,517,14	// 肉
IG_VioletBox,518,14	// 蜂蜜
IG_VioletBox,519,14	// 牛奶
IG_VioletBox,520,14	// 西納雷葉子
IG_VioletBox,521,14	// 蘆薈葉子
IG_VioletBox,522,14	// 瑪絲黛拉果實
IG_VioletBox,523,14	// 圣水
IG_VioletBox,525,14	// 万能藥
IG_VioletBox,526,14	// 蜂膠
IG_VioletBox,528,14	// 魔物飼料
IG_VioletBox,529,14	// 糖果
IG_VioletBox,530,14	// 拐杖糖
IG_VioletBox,531,14	// 苹果汁
IG_VioletBox,532,14	// 香蕉汁
IG_VioletBox,533,14	// 葡萄汁
IG_VioletBox,534,14	// 紅蘿卜汁
IG_VioletBox,535,14	// 南瓜
IG_VioletBox,536,14	// 冰淇淋
IG_VioletBox,537,14	// 寵物飼料
IG_VioletBox,538,14	// 姜餅
IG_VioletBox,539,14	// 小蛋糕
IG_VioletBox,544,14	// 生魚片
IG_VioletBox,545,14	// 紅色纖細藥水
IG_VioletBox,546,14	// 黃色纖細藥水
IG_VioletBox,547,14	// 白色纖細藥水
IG_VioletBox,548,14	// 吉士
IG_VioletBox,549,14	// 美味番薯
IG_VioletBox,550,14	// 仙貝
IG_VioletBox,551,14	// 明蝦壽司
IG_VioletBox,553,14	// 包子
IG_VioletBox,555,14	// 糕餅
IG_VioletBox,558,14	// 巧克力
IG_VioletBox,561,14	// 白色情人巧克力
IG_VioletBox,601,14	// 蒼蠅翅膀
IG_VioletBox,602,14	// 蝴蝶翅膀
IG_VioletBox,604,214	// 枯樹枝
IG_VioletBox,605,14	// 曼特療傷藥
IG_VioletBox,606,14	// 蘆薈汁液
IG_VioletBox,607,14	// 天地樹果實
IG_VioletBox,608,14	// 天地樹芽
IG_VioletBox,609,14	// 返魂符
IG_VioletBox,610,14	// 天地樹葉子
IG_VioletBox,611,14	// 放大鏡
IG_VioletBox,612,14	// 攜帶用熔礦爐
IG_VioletBox,613,14	// 鋼鐵錘子
IG_VioletBox,614,14	// 黃金錘子
IG_VioletBox,615,14	// 神之金屬錘子
IG_VioletBox,616,1		// 老舊收集冊
IG_VioletBox,617,103	// 神秘紫箱
IG_VioletBox,618,14	// 老舊卷軸
IG_VioletBox,619,14	// 青苹果
IG_VioletBox,620,14	// 濃縮柳橙汁
IG_VioletBox,621,14	// 苦味草
IG_VioletBox,622,14	// 彩色紅蘿卜
IG_VioletBox,623,14	// 變態蚯蚓
IG_VioletBox,624,14	// 腐臭之魚
IG_VioletBox,625,14	// 鏽鐵
IG_VioletBox,626,14	// 魔物飲料
IG_VioletBox,627,14	// 魔物牛奶
IG_VioletBox,628,14	// 營養大骨
IG_VioletBox,629,14	// 呢喃花
IG_VioletBox,630,14	// 青苔
IG_VioletBox,631,14	// 青嫩毒草
IG_VioletBox,632,14	// 營養蚯蚓
IG_VioletBox,633,14	// 魔物番薯
IG_VioletBox,634,14	// 魔物香蕉
IG_VioletBox,635,14	// 魔物之証
IG_VioletBox,636,14	// 魔物信件
IG_VioletBox,637,14	// 魔物掃把
IG_VioletBox,638,14	// 純洁銀刃
IG_VioletBox,639,14	// 馴服手鐲
IG_VioletBox,640,14	// 閃爍之石
IG_VioletBox,641,14	// 黑暗合約書
IG_VioletBox,642,14	// 惡魔召喚書
